"Category","City","Container","Continent","Country_Region","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_Priority","Postal_Code","Region","Ship_Date","Ship_Mode","State","Customer_ID","Discount","Number_of_Records","Order_ID","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Storage and Organization","Mesa","Small Box","North America","United States of America","April Hu","Home Office","Office Supplies","Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost","6/28/12","Critical","85204","West","6/30/12","Regular Air","Arizona","526","5.00","1","90,030","6","60.00","23","92","6","16"
"Rubber Bands","Kingston","Wrap Bag","North America","United States of America","Rita Coates Doyle","Corporate","Office Supplies","Acco Hot Clips Clips to Go","6/28/12","Low","2364","East","7/2/12","Express Air","Massachusetts","3,268","5.00","1","89,838","15","40.00","25","51","1","3"
"Rubber Bands","Sao Paulo","Wrap Bag","South America","Brazil","Rodney Kelley","Corporate","Office Supplies","Acco Hot Clips Clips to Go","6/28/12","Low","","International","7/2/12","Express Air","Sa_o Paulo","3,263","5.00","1","15,619","59","40.00","93","202","1","3"
"Tables","Prague","Jumbo Drum","Europe","Czech Republic","Glenda Fox","Small Business","Furniture","Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf","6/28/12","Low","","International","7/3/12","Delivery Truck","Praha","1,655","8.00","1","8,961","79","59.00","1,937","7,645","60","101"
"Tables","Laramie","Jumbo Drum","North America","United States of America","Jim Mathews","Small Business","Furniture","Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf","6/28/12","Low","82070","West","7/3/12","Delivery Truck","Wyoming","1,658","8.00","1","89,068","20","59.00","1,033","1,935","60","101"
"Computer Peripherals","McKeesport","Small Box","North America","United States of America","Janet Carroll","Small Business","Technology","Microsoft Natural Keyboard Elite","6/28/12","Low","15131","East","7/3/12","Regular Air","Pennsylvania","1,657","0.00","1","89,068","6","70.00","10","251","4","40"
"Computer Peripherals","Prague","Small Box","Europe","Czech Republic","Glenda Fox","Small Business","Technology","Microsoft Natural Keyboard Elite","6/28/12","Low","","International","7/3/12","Regular Air","Praha","1,655","0.00","1","8,961","25","70.00","18","1,046","4","40"
"Chairs and Chairmats","Waterville","Jumbo Drum","North America","United States of America","Neal Snow","Corporate","Furniture","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","6/28/12","Low","4901","East","7/5/12","Delivery Truck","Maine","3,267","10.00","1","89,838","4","62.00","52","633","30","161"
"Chairs and Chairmats","Sao Paulo","Jumbo Drum","South America","Brazil","Rodney Kelley","Corporate","Furniture","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","6/28/12","Low","","International","7/5/12","Delivery Truck","Sa_o Paulo","3,263","10.00","1","15,619","15","62.00","98","2,375","30","161"
"Pens and Art Supplies","Addis Ababa","Wrap Bag","Africa","Ethiopia","Arlene Friedman","Small Business","Office Supplies","Newell 342","6/29/12","Critical","","International","6/29/12","Regular Air","Addis Ababa","160","6.00","1","44,516","28","56.00","71","95","4","3"
"Pens and Art Supplies","Richland","Wrap Bag","North America","United States of America","Robin Kramer Vaughn","Small Business","Office Supplies","Newell 342","6/29/12","Critical","99352","West","6/29/12","Regular Air","Washington","164","6.00","1","89,964","7","56.00","38","24","4","3"
"Paper","Bangor","Wrap Bag","North America","United States of America","Marc Hoover","Corporate","Office Supplies","Unpadded Memo Slips","6/29/12","Critical","4401","East","6/30/12","Regular Air","Maine","278","9.00","1","89,296","7","35.00","13","27","3","4"
"Paper","Riyadh","Wrap Bag","Asia","Saudi Arabia","Albert Xu","Corporate","Office Supplies","Unpadded Memo Slips","6/29/12","Critical","","International","6/30/12","Regular Air","Ar Riyad","273","9.00","1","18,951","26","35.00","24","100","3","4"
"Paper","Tulsa","Small Box","North America","United States of America","Leslie Hawley","Home Office","Office Supplies","Xerox 1952","6/29/12","Low","74133","Central","7/1/12","Regular Air","Oklahoma","2,837","4.00","1","89,802","11","38.00","59","55","5","5"
"Paper","Tokyo","Small Box","Asia","Japan","Regina Williamson","Home Office","Office Supplies","Xerox 1952","6/29/12","Low","","International","7/1/12","Regular Air","Tokyo","2,836","4.00","1","27,844","45","38.00","110","226","5","5"
"Storage and Organization","Papillion","Small Box","North America","United States of America","Amanda Conner","Small Business","Office Supplies","Iceberg Mobile Mega Data/Printer Cart ","6/29/12","Medium","68046","Central","7/1/12","Regular Air","Nebraska","796","3.00","1","86,871","21","59.00","1,700","2,607","20","120"
"Storage and Organization","Lagos","Small Box","Africa","Nigeria","John Abbott","Small Business","Office Supplies","Iceberg Mobile Mega Data/Printer Cart ","6/29/12","Medium","","International","7/1/12","Regular Air","Lagos State","795","3.00","1","7,239","83","59.00","6,373","10,302","20","120"
"Telephones and Communication","Biddeford","Small Box","North America","United States of America","Kevin Melvin","Corporate","Technology","Accessory27","6/29/12","Critical","4005","East","7/1/12","Express Air","Maine","279","3.00","1","89,296","4","85.00","136","130","5","36"
"Telephones and Communication","Riyadh","Small Box","Asia","Saudi Arabia","Albert Xu","Corporate","Technology","Accessory27","6/29/12","Critical","","International","7/1/12","Express Air","Ar Riyad","273","3.00","1","18,951","17","85.00","255","551","5","36"
"Binders and Binder Accessories","Tokyo","Small Box","Asia","Japan","Regina Williamson","Home Office","Office Supplies","Wilson Jones Snap Scratch Pad Binder Tool for Ring Binders","6/29/12","Low","","International","7/6/12","Regular Air","Tokyo","2,836","9.00","1","27,844","2","40.00","15","22","6","6"
"Binders and Binder Accessories","Albany","Small Box","North America","United States of America","John Ellington","Home Office","Office Supplies","Wilson Jones Snap Scratch Pad Binder Tool for Ring Binders","6/29/12","Low","97321","West","7/6/12","Regular Air","Oregon","2,838","9.00","1","89,802","1","40.00","8","11","6","6"
"Binders and Binder Accessories","Beijing","Small Box","Asia","China","Ethel Branch","Corporate","Office Supplies","Avery Printable Repositionable Plastic Tabs","6/30/12","High","","International","7/1/12","Express Air","Beijing","3,152","4.00","1","11,270","25","38.00","33","233","6","9"
"Binders and Binder Accessories","Saint Petersburg","Small Box","North America","United States of America","Faye Manning","Corporate","Office Supplies","Avery Printable Repositionable Plastic Tabs","6/30/12","High","33710","South","7/1/12","Express Air","Florida","3,154","4.00","1","86,908","6","38.00","60","56","6","9"
"Storage and Organization","Omaha","Large Box","North America","United States of America","Annie McLaughlin","Corporate","Office Supplies","SAFCO Commercial Wire Shelving, Black","6/30/12","Not Specified","68104","Central","7/1/12","Express Air","Nebraska","427","4.00","1","88,483","9","","418","1,266","35","138"
"Storage and Organization","Sydney","Large Box","Australasia","Australia","Bruce Schroeder","Corporate","Office Supplies","SAFCO Commercial Wire Shelving, Black","6/30/12","Not Specified","2011","International","7/1/12","Express Air","New South Wales","425","4.00","1","29,318","35","","784","4,924","35","138"
"Pens and Art Supplies","Paris","Wrap Bag","Europe","France","Douglas Lyon","Home Office","Office Supplies","Peel-Off China Markers","6/30/12","Medium","75005","International","7/1/12","Regular Air","le-de-France","2,695","1.00","1","8,704","71","43.00","571","742","1","10"
"Pens and Art Supplies","Paris","Wrap Bag","Europe","France","Douglas Lyon","Home Office","Office Supplies","Quartet Alpha White Chalk, 12/Pack","6/30/12","Medium","75005","International","7/1/12","Regular Air","le-de-France","2,695","8.00","1","8,704","63","38.00","25","132","1","2"
"Pens and Art Supplies","Vestavia Hills","Wrap Bag","North America","United States of America","Ricky W Clements","Home Office","Office Supplies","Peel-Off China Markers","6/30/12","Medium","35216","South","7/1/12","Regular Air","Alabama","2,697","1.00","1","87,685","18","43.00","94","188","1","10"
"Pens and Art Supplies","Vestavia Hills","Wrap Bag","North America","United States of America","Ricky W Clements","Home Office","Office Supplies","Quartet Alpha White Chalk, 12/Pack","6/30/12","Medium","35216","South","7/1/12","Regular Air","Alabama","2,697","8.00","1","87,685","16","38.00","483","34","1","2"
"Telephones and Communication","Omaha","Small Box","North America","United States of America","Annie McLaughlin","Corporate","Technology","StarTAC ST7762","6/30/12","Not Specified","68104","Central","7/1/12","Regular Air","Nebraska","427","10.00","1","88,483","14","57.00","675","1,390","8","126"
"Telephones and Communication","Sydney","Small Box","Australasia","Australia","Bruce Schroeder","Corporate","Technology","StarTAC ST7762","6/30/12","Not Specified","2011","International","7/1/12","Regular Air","New South Wales","425","10.00","1","29,318","56","57.00","2,530","5,559","8","126"
"Paper","Pune","Wrap Bag","Asia","India","Laura Duke","Consumer","Office Supplies","Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 600 Sets per Book","6/30/12","Low","","International","7/5/12","Regular Air","Maharashtra","2,412","4.00","1","12,037","23","38.00","27","222","4","9"
"Paper","Oakton","Wrap Bag","North America","United States of America","Ken H Frazier","Consumer","Office Supplies","Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 600 Sets per Book","6/30/12","Low","22124","South","7/5/12","Regular Air","Virginia","2,417","4.00","1","86,760","6","38.00","177","58","4","9"
"Chairs and Chairmats","Chicago","Jumbo Drum","North America","United States of America","Yvonne Clarke","Home Office","Furniture","Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms","7/1/12","High","60610","Central","7/2/12","Delivery Truck","Illinois","962","1.00","1","58,433","15","69.00","45","2,755","30","181"
"Chairs and Chairmats","Redwood City","Jumbo Drum","North America","United States of America","Benjamin Chan","Home Office","Furniture","Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms","7/1/12","High","94061","West","7/2/12","Delivery Truck","California","961","1.00","1","89,404","4","69.00","45","735","30","181"
"Tables","Chicago","Jumbo Box","North America","United States of America","Yvonne Clarke","Home Office","Furniture","Bretford CR8500 Series Meeting Room Furniture","7/1/12","High","60610","Central","7/3/12","Delivery Truck","Illinois","962","9.00","1","58,433","27","71.00","541","8,085","43","401"
"Tables","Redwood City","Jumbo Box","North America","United States of America","Benjamin Chan","Home Office","Furniture","Bretford CR8500 Series Meeting Room Furniture","7/1/12","High","94061","West","7/3/12","Delivery Truck","California","961","9.00","1","89,404","7","71.00","541","2,096","43","401"
"Paper","Chicago","Small Box","North America","United States of America","Yvonne Clarke","Home Office","Office Supplies","Xerox 1937","7/1/12","High","60610","Central","7/3/12","Regular Air","Illinois","962","0.00","1","58,433","41","37.00","730","2,096","6","48"
"Paper","Redwood City","Small Box","North America","United States of America","Benjamin Chan","Home Office","Office Supplies","Xerox 1937","7/1/12","High","94061","West","7/3/12","Regular Air","California","961","0.00","1","89,404","10","37.00","353","511","6","48"
"Paper","Hyderabad","Small Box","Asia","India","Stacey Schultz","Small Business","Office Supplies","Xerox 1905","7/1/12","Low","","International","7/3/12","Regular Air","State of Andhra Pradesh","289","2.00","1","30,566","46","37.00","193","305","10","6"
"Paper","Loveland","Small Box","North America","United States of America","Sara OConnor","Small Business","Office Supplies","Xerox 1905","7/1/12","Low","80538","West","7/3/12","Regular Air","Colorado","290","2.00","1","90,840","11","37.00","193","73","10","6"
"Computer Peripherals","Flower Mound","Small Pack","North America","United States of America","Gary Hester","Consumer","Technology","80 Minute CD-R Spindle, 100/Pack - Staples","7/1/12","Critical","75028","Central","7/3/12","Regular Air","Texas","1,233","1.00","1","89,379","13","54.00","368","534","2","39"
"Computer Peripherals","London","Small Pack","Europe","United Kingdom","Sarah Bass","Consumer","Technology","80 Minute CD-R Spindle, 100/Pack - Staples","7/1/12","Critical","W2","International","7/3/12","Regular Air","England","1,232","1.00","1","6,918","51","54.00","516","2,093","2","39"
"Bookcases","Chennai","Jumbo Box","Asia","India","Caroline Sharma","Small Business","Furniture","Bush Mission Pointe Library","7/2/12","Not Specified","","International","7/2/12","Delivery Truck","Tamil Nadu","1,465","9.00","1","31,844","19","65.00","518","2,831","66","151"
"Bookcases","Bountiful","Jumbo Box","North America","United States of America","Neil Hahn","Small Business","Furniture","Bush Mission Pointe Library","7/2/12","Not Specified","84010","West","7/2/12","Delivery Truck","Utah","1,468","9.00","1","91,118","5","65.00","518","745","66","151"
"Storage and Organization","Liverpool","Small Box","Europe","United Kingdom","Katharine Rowe Harrison","Small Business","Office Supplies","Fellowes Recycled Storage Drawers","7/2/12","Medium","WC2A","International","7/2/12","Regular Air","England","3,185","7.00","1","50,405","11","78.00","108","1,205","9","111"
"Storage and Organization","Riverview","Small Box","North America","United States of America","Sidney Gilliam","Small Business","Office Supplies","Fellowes Recycled Storage Drawers","7/2/12","Medium","33569","South","7/2/12","Regular Air","Florida","3,187","7.00","1","89,030","3","78.00","3","329","9","111"
"Paper","Lisbon","Small Box","Europe","Portugal","Dennis Paul","Consumer","Office Supplies","Xerox 1984","7/2/12","Critical","","International","7/3/12","Regular Air","Lisboa","917","7.00","1","32,129","27","36.00","105","175","9","6"
"Paper","Rancho Cucamonga","Small Box","North America","United States of America","Kerry Jernigan","Consumer","Office Supplies","Xerox 1984","7/2/12","Critical","91730","West","7/3/12","Regular Air","California","918","7.00","1","90,496","7","36.00","105","45","9","6"
"Binders and Binder Accessories","Rio de Janeiro","Small Box","South America","Brazil","Amy Harris","Small Business","Office Supplies","Acco 3-Hole Punch","7/2/12","Not Specified","","International","7/3/12","Regular Air","Rio de Janeiro","2,541","2.00","1","38,950","32","37.00","101","146","6","4"
"Rubber Bands","Rio de Janeiro","Wrap Bag","South America","Brazil","Amy Harris","Small Business","Office Supplies","Revere Boxed Rubber Bands by Revere","7/2/12","Not Specified","","International","7/3/12","Regular Air","Rio de Janeiro","2,541","8.00","1","38,950","53","83.00","21","101","1","2"
"Binders and Binder Accessories","Suffolk","Small Box","North America","United States of America","Jesse Fisher","Small Business","Office Supplies","Acco 3-Hole Punch","7/2/12","Not Specified","23434","South","7/3/12","Regular Air","Virginia","2,546","2.00","1","87,920","8","37.00","174","36","6","4"
"Rubber Bands","Suffolk","Wrap Bag","North America","United States of America","Jesse Fisher","Small Business","Office Supplies","Revere Boxed Rubber Bands by Revere","7/2/12","Not Specified","23434","South","7/3/12","Regular Air","Virginia","2,546","8.00","1","87,920","13","83.00","266","25","1","2"
"Office Machines","Lisbon","Jumbo Drum","Europe","Portugal","Dennis Paul","Consumer","Technology","Lexmark 4227 Plus Dot Matrix Printer","7/2/12","Critical","","International","7/4/12","Delivery Truck","Lisboa","917","1.00","1","32,129","5","55.00","3,669","10,585","15","2,036"
"Office Machines","Redding","Jumbo Drum","North America","United States of America","Tracy Livingston","Consumer","Technology","Lexmark 4227 Plus Dot Matrix Printer","7/2/12","Critical","96003","West","7/4/12","Delivery Truck","California","919","1.00","1","90,496","1","55.00","3,669","2,117","15","2,036"
"Scissors, Rulers and Trimmers","Rio de Janeiro","Small Pack","South America","Brazil","Amy Harris","Small Business","Office Supplies","Acme Forged Steel Scissors with Black Enamel Handles","7/2/12","Not Specified","","International","7/5/12","Regular Air","Rio de Janeiro","2,541","3.00","1","38,950","41","56.00","6","394","4","9"
"Scissors, Rulers and Trimmers","Suffolk","Small Pack","North America","United States of America","Jesse Fisher","Small Business","Office Supplies","Acme Forged Steel Scissors with Black Enamel Handles","7/2/12","Not Specified","23434","South","7/5/12","Regular Air","Virginia","2,546","3.00","1","87,920","10","56.00","274","96","4","9"
"Office Furnishings","Moorhead","Small Pack","North America","United States of America","Anne Heller","Consumer","Furniture","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","7/3/12","High","56560","Central","7/3/12","Regular Air","Minnesota","3,068","3.00","1","88,193","11","45.00","36","109","7","9"
"Office Furnishings","Hanoi","Small Pack","Asia","Viet Nam","Helen Blanchard Cooper","Consumer","Furniture","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","7/3/12","High","","International","7/3/12","Regular Air","Hanoi","3,070","3.00","1","3,393","45","45.00","36","444","7","9"
"Paper","Chicago","Small Box","North America","United States of America","Leigh Burnette Hurley","Corporate","Office Supplies","Xerox 1966","7/3/12","Not Specified","60601","Central","7/3/12","Regular Air","Illinois","2,107","7.00","1","22,727","61","36.00","120","402","7","6"
"Paper","Jacksonville","Small Box","North America","United States of America","Clyde Norman","Corporate","Office Supplies","Xerox 1966","7/3/12","Not Specified","28540","South","7/3/12","Regular Air","North Carolina","2,110","7.00","1","87,870","15","36.00","4","99","7","6"
"Binders and Binder Accessories","Midland","Small Box","North America","United States of America","Emma Copeland","Corporate","Office Supplies","Vinyl Sectional Post Binders","7/3/12","Critical","48640","Central","7/3/12","Regular Air","Michigan","2,792","3.00","1","88,761","14","35.00","357","517","3","38"
"Binders and Binder Accessories","Medellin","Small Box","South America","Colombia","Troy Sherman","Corporate","Office Supplies","Vinyl Sectional Post Binders","7/3/12","Critical","","International","7/3/12","Regular Air","Antioquia","2,789","3.00","1","29,986","54","35.00","641","1,994","3","38"
"Computer Peripherals","Moorhead","Small Box","North America","United States of America","Anne Heller","Consumer","Technology","Logitech Access Keyboard","7/3/12","High","56560","Central","7/4/12","Express Air","Minnesota","3,068","4.00","1","88,193","2","37.00","6","37","4","16"
"Computer Peripherals","Hanoi","Small Box","Asia","Viet Nam","Helen Blanchard Cooper","Consumer","Technology","Logitech Access Keyboard","7/3/12","High","","International","7/4/12","Express Air","Hanoi","3,070","4.00","1","3,393","9","37.00","6","164","4","16"
"Copiers and Fax","Auckland","Large Box","Australasia","New Zealand","Christine Underwood","Consumer","Technology","Hewlett Packard LaserJet 3310 Copier","7/3/12","High","1010","International","7/4/12","Regular Air","Auckland","2,726","7.00","1","29,569","62","37.00","11,984","37,363","24","600"
"Copiers and Fax","Bothell","Large Box","North America","United States of America","Valerie Hahn","Consumer","Technology","Hewlett Packard LaserJet 3310 Copier","7/3/12","High","98011","West","7/4/12","Regular Air","Washington","2,730","7.00","1","88,118","16","37.00","6,653","9,642","24","600"
"Paper","Auckland","Small Box","Australasia","New Zealand","Christine Underwood","Consumer","Office Supplies","Xerox 1887","7/3/12","High","1010","International","7/5/12","Regular Air","Auckland","2,726","10.00","1","29,569","39","37.00","128","699","5","19"
"Paper","Bothell","Small Box","North America","United States of America","Valerie Hahn","Consumer","Office Supplies","Xerox 1887","7/3/12","High","98011","West","7/5/12","Regular Air","Washington","2,730","10.00","1","88,118","10","37.00","124","179","5","19"
"Telephones and Communication","Lagos","Small Box","Africa","Nigeria","Sheila Neal","Corporate","Technology","M3682","7/3/12","Critical","","International","7/5/12","Regular Air","Lagos State","1,539","9.00","1","52,160","8","57.00","403","842","8","126"
"Telephones and Communication","Davie","Small Box","North America","United States of America","Charlene Reynolds","Corporate","Technology","M3682","7/3/12","Critical","33314","South","7/5/12","Regular Air","Florida","1,540","9.00","1","87,786","2","57.00","237","211","8","126"
"Office Furnishings","Enid","Medium Box","North America","United States of America","Helen Simpson","Home Office","Furniture","Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49","7/3/12","High","73703","Central","7/6/12","Regular Air","Oklahoma","1,748","2.00","1","87,251","16","65.00","1,187","1,720","6","108"
"Office Furnishings","Atlanta","Medium Box","North America","United States of America","Herbert Holden","Home Office","Furniture","Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49","7/3/12","High","30305","South","7/6/12","Regular Air","Georgia","1,745","2.00","1","11,876","63","65.00","1,145","6,772","6","108"
"Rubber Bands","Lagos","Wrap Bag","Africa","Nigeria","Sheila Neal","Corporate","Office Supplies","Stockwell Push Pins","7/3/12","Critical","","International","7/6/12","Express Air","Lagos State","1,539","9.00","1","52,160","7","52.00","2","22","1","2"
"Rubber Bands","Davie","Wrap Bag","North America","United States of America","Charlene Reynolds","Corporate","Office Supplies","Stockwell Push Pins","7/3/12","Critical","33314","South","7/6/12","Express Air","Florida","1,540","9.00","1","87,786","2","52.00","7","6","1","2"
"Pens and Art Supplies","Saint Peters","Wrap Bag","North America","United States of America","Tommy Honeycutt","Small Business","Office Supplies","Prang Colored Pencils","7/3/12","High","63376","Central","7/6/12","Regular Air","Missouri","689","4.00","1","88,509","13","40.00","26","38","1","3"
"Pens and Art Supplies","Geneva","Wrap Bag","Europe","Switzerland","Earl B Hull","Small Business","Office Supplies","Prang Colored Pencils","7/3/12","High","","International","7/6/12","Regular Air","Gene_ve","687","4.00","1","36,675","53","40.00","30","154","1","3"
"Office Furnishings","Wichita Falls","Small Box","North America","United States of America","Valerie Moss","Corporate","Furniture","Eldon Expressions Wood and Plastic Desk Accessories, Oak","7/4/12","Low","76308","Central","7/4/12","Regular Air","Texas","1,371","4.00","1","91,334","17","57.00","362","177","13","10"
"Office Furnishings","Chengdu","Small Box","Asia","China","Rebecca Barber","Corporate","Furniture","Eldon Expressions Wood and Plastic Desk Accessories, Oak","7/4/12","Low","","International","7/4/12","Regular Air","Sichuan Sheng","1,370","4.00","1","26,145","66","57.00","362","687","13","10"
"Computer Peripherals","Fairmont","Small Pack","North America","United States of America","Florence Gold","Corporate","Technology","Imation 3.5, RTS 247544 3M 3.5 DSDD, 10/Pack","7/4/12","Not Specified","26554","East","7/4/12","Regular Air","West Virginia","3,400","9.00","1","87,540","13","61.00","60","105","4","8"
"Computer Peripherals","Salvador","Small Pack","South America","Brazil","Bradley Parrott","Corporate","Technology","Imation 3.5, RTS 247544 3M 3.5 DSDD, 10/Pack","7/4/12","Not Specified","","International","7/4/12","Regular Air","Bahia","3,395","9.00","1","57,447","53","61.00","60","429","4","8"
"Tables","Orland Park","Jumbo Box","North America","United States of America","Marion Stephenson","Corporate","Furniture","Bevis Round Conference Table Top and Single Column Base","7/4/12","High","60462","Central","7/5/12","Delivery Truck","Illinois","482","0.00","1","90,356","2","65.00","144","322","44","146"
"Tables","Jaipur","Jumbo Box","Asia","India","Jason Vincent","Corporate","Furniture","Bevis Round Conference Table Top and Single Column Base","7/4/12","High","","International","7/5/12","Delivery Truck","Rajhasthan","481","0.00","1","11,495","8","65.00","144","1,288","44","146"
"Telephones and Communication","Eastpointe","Small Box","North America","United States of America","Dan George","Home Office","Technology","M70","7/4/12","Not Specified","48021","Central","7/5/12","Regular Air","Michigan","2,023","1.00","1","90,764","7","59.00","223","757","9","126"
"Telephones and Communication","Wuhan","Small Box","Asia","China","Amanda Rice Daniels","Home Office","Technology","M70","7/4/12","Not Specified","","International","7/5/12","Regular Air","Hubei Sheng","2,022","1.00","1","17,382","27","59.00","223","2,920","9","126"
"Office Furnishings","Wichita Falls","Small Box","North America","United States of America","Valerie Moss","Corporate","Furniture","Seth Thomas 14 Putty-Colored Wall Clock","7/4/12","Low","76308","Central","7/6/12","Regular Air","Texas","1,371","10.00","1","91,334","9","54.00","154","245","8","29"
"Office Furnishings","Chengdu","Small Box","Asia","China","Rebecca Barber","Corporate","Furniture","Seth Thomas 14 Putty-Colored Wall Clock","7/4/12","Low","","International","7/6/12","Regular Air","Sichuan Sheng","1,370","10.00","1","26,145","36","54.00","154","980","8","29"
"Office Furnishings","Rome","Medium Box","Europe","Italy","Walter A Coates","Small Business","Furniture","DAX Value U-Channel Document Frames, Easel Back","7/4/12","Not Specified","","International","7/6/12","Regular Air","Lazio","3,223","2.00","1","805","53","54.00","120","268","6","5"
"Office Furnishings","Gallatin","Medium Box","North America","United States of America","Claudia White","Small Business","Furniture","DAX Value U-Channel Document Frames, Easel Back","7/4/12","Not Specified","37066","South","7/6/12","Regular Air","Tennessee","3,224","2.00","1","86,512","13","54.00","322","66","6","5"
"Computer Peripherals","Fairmont","Small Box","North America","United States of America","Florence Gold","Corporate","Technology","Logitech Internet Navigator Keyboard","7/4/12","Not Specified","26554","East","7/7/12","Regular Air","West Virginia","3,400","6.00","1","87,540","3","79.00","114","97","7","31"
"Computer Peripherals","Salvador","Small Box","South America","Brazil","Bradley Parrott","Corporate","Technology","Logitech Internet Navigator Keyboard","7/4/12","Not Specified","","International","7/7/12","Regular Air","Bahia","3,395","6.00","1","57,447","11","79.00","114","355","7","31"
"Binders and Binder Accessories","Wichita Falls","Small Box","North America","United States of America","Valerie Moss","Corporate","Office Supplies","Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Light Blue","7/4/12","Low","76308","Central","7/8/12","Regular Air","Texas","1,371","0.00","1","91,334","6","36.00","51","33","6","5"
"Binders and Binder Accessories","Chengdu","Small Box","Asia","China","Rebecca Barber","Corporate","Office Supplies","Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Light Blue","7/4/12","Low","","International","7/8/12","Regular Air","Sichuan Sheng","1,370","0.00","1","26,145","24","36.00","51","132","6","5"
"Appliances","Philadelphia","Jumbo Drum","North America","United States of America","Hazel Jennings","Small Business","Office Supplies","Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","7/5/12","Medium","19140","East","7/6/12","Delivery Truck","Pennsylvania","1,228","6.00","1","36,482","63","57.00","862","19,555","91","328"
"Appliances","Wenatchee","Jumbo Drum","North America","United States of America","Jim Roberson","Small Business","Office Supplies","Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","7/5/12","Medium","98801","West","7/6/12","Delivery Truck","Washington","1,231","6.00","1","90,381","16","57.00","862","4,966","91","328"
"Paper","Philadelphia","Small Box","North America","United States of America","Hazel Jennings","Small Business","Office Supplies","Xerox 193","7/5/12","Medium","19140","East","7/6/12","Express Air","Pennsylvania","1,228","10.00","1","36,482","9","36.00","7","72","5","6"
"Paper","Walla Walla","Small Box","North America","United States of America","Joan Hardin","Small Business","Office Supplies","Xerox 193","7/5/12","Medium","99362","West","7/6/12","Express Air","Washington","1,230","10.00","1","90,381","2","36.00","7","16","5","6"
"Paper","Buenos Aires","Small Box","South America","Argentina","Tom C Frederick","Home Office","Office Supplies","Xerox 1923","7/5/12","High","","International","7/6/12","Regular Air","Province de Buenos Aires","2,722","10.00","1","19,363","59","37.00","85","384","6","7"
"Paper","Chattanooga","Small Box","North America","United States of America","Erika Clapp","Home Office","Office Supplies","Xerox 1923","7/5/12","High","37421","South","7/6/12","Regular Air","Tennessee","2,724","10.00","1","88,963","15","37.00","44","98","6","7"
"Office Furnishings","Philadelphia","Large Box","North America","United States of America","Hazel Jennings","Small Business","Furniture","Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","7/5/12","Medium","19140","East","7/7/12","Express Air","Pennsylvania","1,228","7.00","1","36,482","36","61.00","490","3,567","24","105"
"Office Furnishings","Wenatchee","Large Box","North America","United States of America","Jim Roberson","Small Business","Furniture","Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","7/5/12","Medium","98801","West","7/7/12","Express Air","Washington","1,231","7.00","1","90,381","9","61.00","490","892","24","105"
"Tables","Seoul","Jumbo Box","Asia","Republic of Korea","Rosemary Hedrick","Home Office","Furniture","Bretford CR8500 Series Meeting Room Furniture","7/5/12","High","","International","7/7/12","Regular Air","Soul","882","2.00","1","23,235","8","71.00","2","23","1","3"
"Tables","Atascadero","Jumbo Box","North America","United States of America","Alex Harding","Home Office","Furniture","Bretford CR8500 Series Meeting Room Furniture","7/5/12","High","93422","West","7/7/12","Regular Air","California","883","2.00","1","89,545","2","71.00","2","6","1","3"
"Appliances","Detroit","Small Box","North America","United States of America","Marvin Patrick","Home Office","Office Supplies","Eureka Hand Vacuum, Bagless","7/5/12","High","48227","Central","7/7/12","Express Air","Michigan","2,190","1.00","1","15,714","68","57.00","4","3,415","20","49"
"Appliances","Mooresville","Small Box","North America","United States of America","Julia Haynes","Home Office","Office Supplies","Eureka Hand Vacuum, Bagless","7/5/12","High","28115","South","7/7/12","Express Air","North Carolina","2,192","1.00","1","90,686","17","57.00","12","854","20","49"
"Pens and Art Supplies","Buenos Aires","Wrap Bag","South America","Argentina","Tom C Frederick","Home Office","Office Supplies","Newell 315","7/5/12","High","","International","7/7/12","Regular Air","Province de Buenos Aires","2,722","4.00","1","19,363","55","60.00","50","333","1","6"
